# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Jan  7 16:11:34 2022
# Spectral unit: Frequency[cm-1]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.309918783e+03 9.81344e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.81688e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309916163e+03 9.84411e-01 9.99994e-01 1.00000e+00 1.00000e+00 9.84755e-01 1.00000e+00 9.99669e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309913543e+03 9.85787e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.86131e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309910923e+03 9.85614e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.85958e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99988e-01
1.309908303e+03 9.85749e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.86092e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309905683e+03 9.86884e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.87228e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309903064e+03 9.86988e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.87332e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309900444e+03 9.86610e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.86954e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309897824e+03 9.85911e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.86255e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309895204e+03 9.84932e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.85274e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309892585e+03 9.83669e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.84011e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309889965e+03 9.82092e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.82433e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309887345e+03 9.80147e-01 9.99993e-01 1.00000e+00 1.00000e+00 9.80488e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309884725e+03 9.77754e-01 9.99992e-01 1.00000e+00 1.00000e+00 9.78094e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309882105e+03 9.74797e-01 9.99992e-01 1.00000e+00 1.00000e+00 9.75136e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309879486e+03 9.71112e-01 9.99992e-01 1.00000e+00 1.00000e+00 9.71450e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309876866e+03 9.66468e-01 9.99992e-01 1.00000e+00 1.00000e+00 9.66805e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309874246e+03 9.60527e-01 9.99991e-01 1.00000e+00 1.00000e+00 9.60862e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309871626e+03 9.52790e-01 9.99991e-01 1.00000e+00 1.00000e+00 9.53123e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309869007e+03 9.42497e-01 9.99989e-01 1.00000e+00 1.00000e+00 9.42828e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309866387e+03 9.28461e-01 9.99988e-01 1.00000e+00 1.00000e+00 9.28788e-01 1.00000e+00 9.99671e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309863767e+03 9.08763e-01 9.99989e-01 1.00000e+00 1.00000e+00 9.09082e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309861147e+03 8.80196e-01 9.99989e-01 1.00000e+00 1.00000e+00 8.80504e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309858528e+03 8.37280e-01 9.99989e-01 1.00000e+00 1.00000e+00 8.37574e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309855908e+03 7.70581e-01 9.99989e-01 1.00000e+00 1.00000e+00 7.70852e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309853288e+03 6.64387e-01 9.99988e-01 1.00000e+00 1.00000e+00 6.64620e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309850669e+03 4.94499e-01 9.99987e-01 1.00000e+00 1.00000e+00 4.94673e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309848049e+03 2.54611e-01 9.99986e-01 1.00000e+00 1.00000e+00 2.54701e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309845429e+03 2.63136e-01 9.99985e-01 1.00000e+00 1.00000e+00 2.63230e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309842810e+03 4.99209e-01 9.99983e-01 1.00000e+00 1.00000e+00 4.99387e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309840190e+03 6.63621e-01 9.99980e-01 1.00000e+00 1.00000e+00 6.63859e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309837570e+03 7.65439e-01 9.99977e-01 1.00000e+00 1.00000e+00 7.65716e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309834951e+03 8.26566e-01 9.99972e-01 1.00000e+00 1.00000e+00 8.26869e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309832331e+03 8.60087e-01 9.99966e-01 1.00000e+00 1.00000e+00 8.60408e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309829711e+03 8.68337e-01 9.99955e-01 1.00000e+00 1.00000e+00 8.68671e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01
1.309827092e+03 8.50919e-01 9.99937e-01 1.00000e+00 1.00000e+00 8.51261e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309824472e+03 8.89848e-01 9.99904e-01 1.00000e+00 1.00000e+00 8.90234e-01 1.00000e+00 9.99672e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
